variable,label,decision,registered,missing,section
INTERSEXUAL,La persona usuaria por sus características sexuales se siente o considera,Indicador agregado,9968,110200,poblaciones
TIPO_VIOLENCIA,Tipo de violencia,Indicador agregado,120168,0,violencia
PERTURBACION_POSESION,Perturbación de la posesión,Indicador agregado,610,119558,violencia
MENOSCABO_TENENCIA_BIENES,Menoscabo de la tenencia o propiedad de sus bienes,Indicador agregado,341,119827,violencia
PERDIDA_DERECHOS_PATRIMONIALES,"Pérdida de instrumento de trabajo, documentos personales, bienes y derechos patrimoniales",Indicador agregado,946,119222,violencia
LIMITACION_RECURSOS_ECONOMICOS,Limitación de los recursos económicos destinados a satisfacer sus necesidades,Indicador agregado,1670,118498,violencia
PRIVACION_MEDIOS_INDISPENSABLES,Privación de los medios indispensables para vivir una vida digna,Indicador agregado,708,119460,violencia
INCUMPLIMIENTO_OBLIGACION_ALIMENTARIA,Evasión del cumplimiento de sus obligaciones alimentarias,Indicador agregado,1371,118797,violencia
CONTROL_DE_INGRESOS,Limitación o control de sus ingresos,Indicador agregado,173,119995,violencia
PERCEPCION_SALARIO_MENOR,Percepción de un salario menor por igual tarea dentro de un mismo lugar de trabajo,Indicador agregado,7,120161,violencia
PROHIBIR_DES_LABORAL,"Prohibir, limitar o condicionar el desarrollo profesional o laboral",Indicador agregado,73,120095,violencia
SUSTRAER_INGRESOS,Sustraer los ingresos,Indicador agregado,140,120028,violencia
FRACCION_RECURSOS_NEC,Proveer en forma diminuta o fraccionada los recursos necesarios,Indicador agregado,260,119908,violencia
OBLIGACION_ALIMENTOS,Condicionar el cumplimiento de la obligación de alimentos,Indicador agregado,125,120043,violencia
DESTRUIR_INST_TRABAJO,"Dañar, sustraer, destruir bienes destinados al alquiler, venta o instrumentos de trabajo",Indicador agregado,242,119926,violencia
DESTRUIR_BIEN_PERSONAL,"Dañar, sustraer, destruir los bienes personales",Indicador agregado,726,119442,violencia
OTRA_VECON_PATRIM,Otro tipo de violencia económica o patrimonial,Indicador agregado,380,119788,violencia
DETALLE_OTRA_VECON_PATRIM,Especificar Otra violencia económica o patrimonial,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
GRITOS_INSULTOS,Gritos e insultos,Indicador agregado,73177,46991,violencia
VIOLENCIA_RACIAL,Violencia racial o insulto étnico-racial,Indicador agregado,361,119807,violencia
INDIFERENCIA,Indiferencia,Indicador agregado,9037,111131,violencia
DISCR_ORIENTACION_SEXUAL,Discriminación por orientación sexual,Indicador agregado,107,120061,violencia
DISCR_GENERO,Discriminación por género,Indicador agregado,1462,118706,violencia
DISCR_IDENTIDAD_GENERO,Discriminación por identidad de género,Indicador agregado,81,120087,violencia
RECHAZO,Rechazo,Indicador agregado,8654,111514,violencia
DESVALORIZACION_HUMILLACION,Desvalorización y humillación,Indicador agregado,41905,78263,violencia
AMENAZA_QUITAR_HIJOS,Amenaza de quitar a los hijos/as,Indicador agregado,4109,116059,violencia
OTRAS_AMENAZAS,Otras amenazas diversas,Indicador agregado,12563,107605,violencia
PROHIBE_RECIBIR_VISITAS,Impide / prohíbe recibir visitas,Indicador agregado,887,119281,violencia
PROHIBE_ESTUDIAR_TRABAJAR_SALIR,"Impide / prohíbe estudiar, trabajar o salir",Indicador agregado,1091,119077,violencia
ROMPE_DESTRUYE_COSAS,Rompe o destruye cosas en la casa,Indicador agregado,2723,117445,violencia
VIGILANCIA_CONTINUA_PERSECUCION,Vigilancia continua / persecución,Indicador agregado,4154,116014,violencia
BOTAR_CASA,Botar de la casa,Indicador agregado,6709,113459,violencia
AMENAZA_DE_MUERTE,Amenazas de daño o muerte de la víctima,Indicador agregado,8544,111624,violencia
ABANDONO,Abandono,Indicador agregado,1547,118621,violencia
OTRA_VPSI,Otro tipo de violencia psicológica,Indicador agregado,17263,102905,violencia
DETALLE_OTRA_VPSI,Especificar otra violencia psicológica,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PUNTAPIES_PATADAS,Puntapiés o patadas,Indicador agregado,7082,113086,violencia
PUNETAZOS,Puñetazos,Indicador agregado,14791,105377,violencia
BOFETADAS,Bofetadas,Indicador agregado,9228,110940,violencia
JALONES_CABELLO,Jalones de cabello,Indicador agregado,9324,110844,violencia
MORDEDURA,Mordeduras,Indicador agregado,632,119536,violencia
OTRAS_AGRESIONES,"Otras agresiones (arañazos, rodillazos, cabezazos, pisotones, etc.)",Indicador agregado,3678,116490,violencia
EMPUJONES,"Empujones, tirar al suelo",Indicador agregado,15267,104901,violencia
GOLPES_CON_PALOS,Golpes con palos,Indicador agregado,1676,118492,violencia
LATIGAZO,"Latigazo, correazo, pegar con sogas",Indicador agregado,2288,117880,violencia
AHORCAMIENTO,"Ahorcamiento, estrangulamiento o intento de asfixia",Indicador agregado,3648,116520,violencia
HERIDAS_CON_ARMAS,Heridas con arma punzo cortante o arma de fuego,Indicador agregado,520,119648,violencia
